日付,曜日,シフト,担当者
1,平日,日勤,"佐藤 美咲, 高橋 優子, 伊藤 陽子, 山本 恵美, 小林 真由美, 加藤 美穂"
1,平日,夜勤,田中 真理
2,平日,日勤,"佐藤 美咲, 鈴木 愛, 高橋 優子, 伊藤 陽子, 山本 恵美, 中村 直美"
2,平日,夜勤,渡辺 京子
2,平日,夜勤明,田中 真理
3,平日,日勤,"佐藤 美咲, 鈴木 愛, 田中 真理, 中村 直美, 小林 真由美"
3,平日,夜勤明,渡辺 京子
4,平日,日勤,"佐藤 美咲, 鈴木 愛, 田中 真理, 山本 恵美"
4,平日,夜勤,中村 直美
5,平日,日勤,"佐藤 美咲, 鈴木 愛, 高橋 優子, 渡辺 京子, 小林 真由美, 加藤 美穂"
5,平日,夜勤,加藤 美穂
5,平日,夜勤明,中村 直美
6,休日,日勤,"高橋 優子, 田中 真理"
6,休日,夜勤明,加藤 美穂
7,休日,日勤,"高橋 優子, 伊藤 陽子"
7,休日,夜勤,小林 真由美
8,平日,日勤,"佐藤 美咲, 高橋 優子, 渡辺 京子, 伊藤 陽子, 山本 恵美, 加藤 美穂"
8,平日,夜勤,鈴木 愛
8,平日,夜勤明,小林 真由美
9,平日,日勤,"佐藤 美咲, 高橋 優子, 田中 真理, 渡辺 京子, 伊藤 陽子, 中村 直美"
9,平日,夜勤,山本 恵美
9,平日,夜勤明,鈴木 愛
10,平日,日勤,"佐藤 美咲, 鈴木 愛, 高橋 優子, 伊藤 陽子, 小林 真由美, 加藤 美穂"
10,平日,夜勤,伊藤 陽子
10,平日,夜勤明,山本 恵美
11,平日,日勤,"佐藤 美咲, 鈴木 愛, 田中 真理, 渡辺 京子, 山本 恵美, 小林 真由美"
11,平日,夜勤,伊藤 陽子
11,平日,夜勤明,伊藤 陽子
12,平日,日勤,"佐藤 美咲, 鈴木 愛, 田中 真理, 渡辺 京子, 中村 直美, 加藤 美穂"
12,平日,夜勤明,伊藤 陽子
13,休日,日勤,伊藤 陽子
14,休日,日勤,中村 直美
15,平日,日勤,"佐藤 美咲, 鈴木 愛, 伊藤 陽子, 中村 直美"
16,平日,日勤,"佐藤 美咲, 高橋 優子, 田中 真理, 山本 恵美, 小林 真由美, 加藤 美穂"
17,平日,日勤,"佐藤 美咲, 高橋 優子, 渡辺 京子, 伊藤 陽子, 中村 直美, 加藤 美穂"
17,平日,夜勤,山本 恵美
18,平日,日勤,"佐藤 美咲, 高橋 優子, 田中 真理, 伊藤 陽子, 小林 真由美, 加藤 美穂"
18,平日,夜勤,中村 直美
18,平日,夜勤明,山本 恵美
19,平日,日勤,"佐藤 美咲, 高橋 優子, 田中 真理, 渡辺 京子, 伊藤 陽子, 山本 恵美"
19,平日,夜勤,加藤 美穂
19,平日,夜勤明,中村 直美
20,休日,日勤,"渡辺 京子, 中村 直美"
20,休日,夜勤,田中 真理
20,休日,夜勤明,加藤 美穂
21,休日,日勤,"佐藤 美咲, 高橋 優子"
21,休日,夜勤,小林 真由美
21,休日,夜勤明,田中 真理
22,平日,日勤,"佐藤 美咲, 鈴木 愛, 高橋 優子, 渡辺 京子, 伊藤 陽子, 加藤 美穂"
22,平日,夜勤,山本 恵美
22,平日,夜勤明,小林 真由美
23,平日,日勤,"佐藤 美咲, 鈴木 愛, 渡辺 京子, 伊藤 陽子, 中村 直美, 小林 真由美"
23,平日,夜勤明,山本 恵美
24,平日,日勤,"鈴木 愛, 高橋 優子, 渡辺 京子, 中村 直美, 小林 真由美, 加藤 美穂"
24,平日,夜勤,伊藤 陽子
25,平日,日勤,"佐藤 美咲, 鈴木 愛, 高橋 優子, 中村 直美, 小林 真由美, 加藤 美穂"
25,平日,夜勤,山本 恵美
25,平日,夜勤明,伊藤 陽子
26,平日,日勤,"鈴木 愛, 高橋 優子, 田中 真理, 渡辺 京子, 中村 直美, 小林 真由美"
26,平日,夜勤,加藤 美穂
26,平日,夜勤明,山本 恵美
27,休日,日勤,"高橋 優子, 山本 恵美"
27,休日,夜勤明,加藤 美穂
28,休日,日勤,"伊藤 陽子, 加藤 美穂"
28,休日,夜勤,渡辺 京子
29,平日,日勤,"佐藤 美咲, 鈴木 愛, 高橋 優子, 田中 真理, 小林 真由美, 加藤 美穂"
29,平日,夜勤,山本 恵美
29,平日,夜勤明,渡辺 京子
30,平日,日勤,"佐藤 美咲, 鈴木 愛, 渡辺 京子, 伊藤 陽子, 小林 真由美, 加藤 美穂"
30,平日,夜勤,中村 直美
30,平日,夜勤明,山本 恵美
31,平日,日勤,"鈴木 愛, 渡辺 京子, 伊藤 陽子, 中村 直美, 小林 真由美, 加藤 美穂"
31,平日,夜勤,田中 真理
31,平日,夜勤明,中村 直美
